Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in TLF1,Bach,% change in TLF1,Beethoven,% change in TLF1,Chopin,% change in TLF1,Gibbons,% change in TLF1,Mozart,Average over pieces,,,Average over all cases
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,-19.8057,0.1486,-37.2534,0.0827,-32.1429,0.038,-2.5881,0.1355,-35.9641,0.1355,-25.5508,,,
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,-2.5904,0.1805,-22.9894,0.1015,-11.7857,0.0494,-2.5881,0.1355,-31.9943,0.1439,-14.3896,,,
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,-0.0540,0.1852,-25.5690,0.0981,-28.3929,0.0401,0.0000,0.1391,-4.3006,0.2025,-11.6633,,,
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,,0.1853,,0.1318,,0.056,,0.1391,,0.2116,,,,
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,7.8320,0.3621,-39.9235,0.33,-18.5345,0.189,-9.9007,0.2994,-31.4548,0.3807,-18.3963,,,
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,-6.0453,0.3155,-27.3439,0.3991,-18.5345,0.189,-9.9007,0.2994,-30.5005,0.386,-18.4650,,,
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,1.9059,0.3422,-24.8498,0.4128,0.0431,0.2321,0.0000,0.3323,0.1801,0.5564,-4.5442,,,
ForthRCT,Forth,Z,Z,Z,CT,R,,0.3358,,0.5493,,0.232,,0.3323,,0.5554,,,,
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,-5.6081,0.2693,0.4245,0.2129,7.0299,0.1218,-19.7780,0.2385,-12.8926,0.2385,-6.1649,,,
ReForthR,Forth,Z,RecurSIA,Z,Z,R,-11.6018,0.2522,7.1698,0.2272,1.8453,0.1159,-19.7780,0.2385,-11.6874,0.2418,-6.8104,,,
ForthR-RRT,Forth,Z,Z,RRT,Z,R,8.5524,0.3097,-8.4906,0.194,-0.0879,0.1137,0.0000,0.2973,0.0000,0.2738,-0.0052,,,
ForthR,Forth,Z,Z,Z,Z,R,,0.2853,,0.212,,0.1138,,0.2973,,0.2738,,,,
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,7.8320,0.3621,-39.9235,0.33,-18.5345,0.189,-9.9007,0.2994,-31.4548,0.3807,-18.3963,,,
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,-6.0453,0.3155,-27.3439,0.3991,-18.5345,0.189,-9.9007,0.2994,-30.5005,0.386,-18.4650,,,
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,1.9059,0.3422,-24.8498,0.4128,0.0431,0.2321,0.0000,0.3323,0.1801,0.5564,-4.5442,,,
ForthCT,Forth,Z,Z,Z,CT,Z,,0.3358,,0.5493,,0.232,,0.3323,,0.5554,,,,
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,-9.7395,0.1455,-35.1565,0.2051,1.2556,0.1129,-19.2614,0.2536,-11.3424,0.2087,-14.8488,,,
ReForth,Forth,Z,RecurSIA,Z,Z,Z,0.0000,0.1612,-31.0781,0.218,5.2018,0.1173,-19.2614,0.2536,-9.0059,0.2142,-10.8287,,,
Forth-RRT,Forth,Z,Z,RRT,Z,Z,-9.7395,0.1455,-16.3136,0.2647,0.4484,0.112,0.0000,0.3141,-2.8037,0.2288,-5.6817,,,
Forth,Forth,Z,Z,Z,Z,Z,,0.1612,,0.3163,,0.1115,,0.3141,,0.2354,,,,
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,-37.7352,0.1754,-21.7325,0.1545,-24.7059,0.0768,-3.1430,0.1849,-36.6603,0.198,-24.7954,,,
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,-34.0078,0.1859,-23.3029,0.1514,-24.7059,0.0768,0.6286,0.1921,-36.3404,0.199,-23.5457,,,
