Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in R3,Bach,% change in R3,Beethoven,% change in R3,Chopin,% change in R3,Gibbons,% change in R3,Mozart,Average % change in R3,,Average change over all cases,
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,10.93635699,0.6066,-19.53417441,0.5804,0,0.4843,0,0.3362,0,0.6725,-1.719563484,,,
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,0,0.5468,1.400249549,0.7314,0,0.4843,0,0.3362,0,0.6725,0.28004991,,,
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,-6.346013168,0.5121,-24.15083876,0.5471,0,0.4843,0,0.3362,0,0.6725,-6.099370386,,,
ForthRCT,Forth,Z,Z,Z,CT,R,,0.5468,,0.7213,,0.4843,,0.3362,,0.6725,,,,
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,11.24549665,0.4323,13.6248237,0.4028,10.39188244,0.3155,0.406758448,0.3209,12.10810811,0.4148,9.555413868,,,
ReForthR,Forth,Z,RecurSIA,Z,Z,R,11.24549665,0.4323,16.2764457,0.4122,8.502449265,0.3101,0.406758448,0.3209,12.40540541,0.4159,9.767311094,,,
ForthR-RRT,Forth,Z,Z,RRT,Z,R,0,0.3886,-0.451339915,0.3529,0.524842547,0.2873,0,0.3196,0,0.37,0.014700526,,,
ForthR,Forth,Z,Z,Z,Z,R,,0.3886,,0.3545,,0.2858,,0.3196,,0.37,,,,
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,10.93635699,0.6066,-19.53417441,0.5804,0,0.4843,0,0.3362,0,0.6725,-1.719563484,,,
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,0,0.5468,1.400249549,0.7314,0,0.4843,0,0.3362,0,0.6725,0.28004991,,,
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,-6.346013168,0.5121,-24.15083876,0.5471,0,0.4843,0,0.3362,0,0.6725,-6.099370386,,,
ForthCT,Forth,Z,Z,Z,CT,Z,,0.5468,,0.7213,,0.4843,,0.3362,,0.6725,,,,
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,-21.55771905,0.1692,-11.68108776,0.4287,14.62912088,0.3338,0.41388093,0.3154,8.752378364,0.4001,-1.888685329,,,
ReForth,Forth,Z,RecurSIA,Z,Z,Z,0,0.2157,1.73053152,0.4938,15.17857143,0.3354,0.41388093,0.3154,8.616471867,0.3996,5.187891149,,,
Forth-RRT,Forth,Z,Z,RRT,Z,Z,-21.55771905,0.1692,-15.67779151,0.4093,-0.446428571,0.2899,0,0.3141,0.108725197,0.3683,-7.514642788,,,
Forth,Forth,Z,Z,Z,Z,Z,,0.2157,,0.4854,,0.2912,,0.3141,,0.3679,,,,
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,10.73680972,0.7199,6.121230218,0.3554,0,0.2098,-2.091743119,0.2668,0,0.5178,2.953259364,,,
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,18.12028919,0.7679,6.479546133,0.3566,0,0.2098,3.376146789,0.2817,0,0.5178,5.595196422,,,
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,-7.383479465,0.6021,-0.238877277,0.3341,0,0.2098,-5.467889908,0.2576,0,0.5178,-2.61804933,,,
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,,0.6501,,0.3349,,0.2098,,0.2725,,0.5178,,,,
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,15.29265255,0.4629,-0.126635711,0.2366,1.265060241,0.1681,15.27272727,0.2853,-1.97258442,0.2932,5.946243987,,,
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,9.613947696,0.4401,0,0.2369,0,0.166,15.27272727,0.2853,0,0.2991,4.977334994,,,
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,8.518057285,0.4357,-0.126635711,0.2366,1.265060241,0.1681,0,0.2475,-1.97258442,0.2932,1.536779479,,,
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,,0.4015,,0.2369,,0.166,,0.2475,,0.2991,,,,
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,10.73680972,0.7199,6.121230218,0.3554,0,0.2098,-2.091743119,0.2668,0,0.5178,2.953259364,,,
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,18.12028919,0.7679,6.479546133,0.3566,0,0.2098,3.376146789,0.2817,0,0.5178,5.595196422,,,
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,-7.383479465,0.6021,-0.238877277,0.3341,0,0.2098,-5.467889908,0.2576,0,0.5178,-2.61804933,,,
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,,0.6501,,0.3349,,0.2098,,0.2725,,0.5178,,,,
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,22.86673058,0.5126,-4.008264463,0.2323,-6.527651859,0.2062,0,0.2691,0.747986191,0.3502,2.615760091,,,
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,2.253116012,0.4266,0,0.242,0,0.2206,0,0.2691,0,0.3476,0.450623202,,,
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,22.86673058,0.5126,-4.008264463,0.2323,-6.527651859,0.2062,0,0.2691,0.747986191,0.3502,2.615760091,,,
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,,0.4172,,0.242,,0.2206,,0.2691,,0.3476,,,,
